110825366	74346	75311	
114336511	2595393	2596337	
115259115	38823	39794	
116696516	3523593	3524546	
117607074	1584995	1585969	
118163506	3919180	3920157	
120561280	3222228	3223196	
120587178	3910295	3911266	
126636230	4594563	4595549	
12719011	24916	25902	
148498119	4035871	4036836	
149931032	1991381	1992265	
150958624	5485155	5486129	
151363173	5100290	5101240	
151423458	1115435	1116385	
152026452	4957072	4958028	
154162790	13919	14902	
157076741	3332904	3333881	
159141737	97873	98856	
168192641	1086004	1086990	
182632885	3049031	3049996	
187713229	4302146	4303141	
194405610	1532241	1533227	
194709404	387675	388649	
209871356	3613553	3614518	
213985689	2726955	2727860	
218350208	3346462	3347439	
218525559	112898	113884	
221727862	180866	181849	
239837778	1099307	1100215	
255292743	19495	20460	
255292892	18740	19705	
255293164	14445	15410	
256632183	2586504	2587475	
256635240	2587711	2588682	
256638295	2585053	2586024	
256641349	2587691	2588662	
256644404	2587733	2588704	
256647459	2585066	2586037	
256650512	2494250	2495221	
256653503	2585048	2586019	
262083393	4557875	4558867	
268309235	5536578	5537522	
284919779	4940547	4941524	
288909149	917139	918110	
289172388	1383516	1384472	
290883107	665199	666140	
292673316	423389	424375	
296012614	1361869	1362831	
299065054	8268	9245	
302148938	944640	945524	
302567367	6860395	6861360	
311692891	1842189	1843142	
32446539	79051	79965	
32527006	103075	104052	
329308025	1891624	1892541	
332000475	23889	24875	
332337265	139134	140105	
333738032	474720	475652	
333937619	345728	346693	
336093334	1765006	1766010	
336096746	161199	162164	
336096911	1763871	1764875	
338799449	1270842	1271759	
339305362	99375	100355	
339759707	3880354	3881325	
345135066	2147161	2148126	
357422594	1858371	1859342	
359341138	4532631	4533545	
363406024	3306694	3307638	
367460290	3939580	3940521	
372983507	2050372	2051277	
386786868	5549086	5550048	
390189682	13080	14051	
395810495	1035388	1036353	
406775301	939464	940441	
407051884	936018	936995	
407062746	929125	930102	
409018997	177125	178060	
409021976	242618	243553	
427357970	5496394	5497383	
427998918	128865	129833	
432164605	724240	725190	
442770505	18019	18972	
445198867	4784799	4785761	
451313490	25220	26206	
451313531	25220	26206	
451313571	22438	23424	
481190182	23699	24685	
481190252	23699	24685	
481190335	23699	24685	
481190437	23699	24685	
507219248	1093007	1093984	
528527888	263390	264364	
545006446	4108205	4109191	
569540043	710903	711862	
593804270	22290	23261	
593804355	90282	91253	
597512421	91905	92876	
613730844	1092707	1093684	
615567765	1092692	1093669	
618631222	4108205	4109191	
619734722	1195930	1196925	
640855842	5948	6919	
663071213	1205661	1206617	
667483878	26181	27167	
667483963	26181	27167	
667714421	24394	25380	
672593547	765788	766732	
672940377	41811	42797	
675818951	35742	36719	
676254456	1931268	1932248	
684194542	4912690	4913655	
685748346	2492341	2493336	
690305170	3700156	3701133	
690324916	3715780	3716757	
696158530	93657	94628	
698183088	137050	138015	
700676355	24914	25900	
701188573	3750249	3751226	
703587290	1707640	1708596	
704485635	24915	25901	
704485683	24908	25894	
704485737	24902	25888	
704485786	24914	25900	
704485843	24908	25894	
704485899	24908	25894	
717149785	22290	23261	
717159388	22282	23253	
723254552	121740	122711	
731175139	1007504	1008445	
74055513	1781871	1782836	
742923133	36451	37422	
742993892	172544	173515	
743569396	1102682	1103653	
74419069	2287911	2288897	
745369752	3514964	3515941	
746616518	23527	24513	
748231934	3984330	3985307	
748262133	2771737	2772702	
754496488	1274463	1275419	
755908329	5192757	5193716	
75699950	4345985	4346974	
758182997	1099355	1100350	
758855033	5931412	5932386	
758961176	103116	104087	
761589803	5325151	5326116	
764066760	2125483	2126457	
766547679	37677	38663	
770474236	2685	3659	
777182157	58232	59218	
785763558	3006849	3007814	
794204258	2765332	2766216	
800908878	22288	23259	
803440056	4045904	4046890	
815963219	933526	934500	
815968487	5612693	5613658	
816208797	243342	244319	
817491263	23384	24370	
827370414	4095891	4096868	
828952515	64081	65052	
829088678	25217	26203	
834771869	2994540	2995346	
83630956	3508914	3509861	
873258195	865609	866538	
873551602	1596882	1597829	
874219584	283397	284356	
886827290	1941753	1942724	
89213252	6041	7012	
906350884	3429180	3430157	
914397586	5322976	5323950	
91685338	4750031	4751026	
924524167	390992	391963	
930349143	5104835	5105806	
933690998	1426609	1427574	
933694432	18507	19490	
938169631	263758	264741	
938475369	2738355	2739239	
939208275	2693867	2694862	
951709680	685332	686282	
953508392	5108782	5109771	
958290816	4839271	4840257	
958617326	4098143	4099120	
959190086	71629	72600	
959209244	212618	213577	
959672264	5605094	5606068	
970324016	2611390	2612340	
